"X","Y","solid.E (Pa)","ht.kxx (W/(m*K))","u (m)","v (m)","solid.sxx (N/m^2)","solid.syy (N/m^2)","solid.sxy (N/m^2)","T (K)","ht.tfluxx (W/m^2)","ht.tfluxy (W/m^2)","d(solid.sx, x)+d(solid.sxy, y) (N/m^3)","d(solid.sxy, x)+d(solid.sy, y) (N/m^3)"
0.49,0,10,1,0.0660631911979694,0,-2.6095353698705863,-2.021836740701374,-3.9160128661154E-6,0.5181993008655909,0.9834779347650194,1.841493202459077E-5,0.6298648124542741,-0.6031037468466519
0.5,0,10,1,0.06643708439689044,0,-2.660275840933455,-1.9176736117804627,5.464928132931517E-5,0.5083191494653815,0.9926372522555695,1.5735169874352633E-5,-0.0020647139263294534,-0.4255827183246477
0.51,0,10,1,0.06668045866429875,0,-2.715735956570101,-1.8003997773865859,4.8586068351469814E-5,0.49834632396230183,1.0019385708357618,1.2253886305657602E-5,-0.27042274660460386,-0.15773333596985842
0.52,0,10,1,0.06678404934082363,0,-2.7741513828086846,-1.6743018615259215,-3.890119853496134E-5,0.48828064852706476,1.0111965162115766,7.866998276204089E-6,0.5103038357167842,-0.04008994660181683
0.53,0,10,1,0.06674290393442488,0,-2.836406986063537,-1.5451241724040967,7.642648827987075E-5,0.478124040640885,1.020093977534156,4.252487110889547E-6,-0.03995222727498238,0.2701073357002892
0.54,0,10,1,0.0665565341173701,0,-2.894947615436352,-1.4154367873624492,8.452711100290435E-5,0.46788011785828215,1.028533399790291,1.1516977621900175E-6,-0.026769294917945885,0.5057038000644486
0.55,0,10,1,0.06622852869669965,-1.1987073692549272E-44,-2.9496997113527943,-1.2909081966581213,5.6865495416775934E-5,0.45755424716298354,1.0364569274596533,-2.1793630367028527E-6,0.40436530595793396,0.6337249117679172
0.56,0,10,1,0.06576662036956643,0,-2.9997814956113125,-1.175381974239461,8.232985577209841E-5,0.4471529521756886,1.0438020699993444,-5.696866358549006E-6,-0.8981668960669777,0.7074491509443412
0.5700000000000001,0,10,1,0.06518023502253191,0,-3.038223185816345,-1.0683873676582742,4.9650992090404925E-5,0.4366827712813468,1.0502279321517205,-5.410126623139888E-6,-0.5339563595645367,0.6938467873795666
0.58,0,10,1,0.0644799414533281,0,-3.0703269126201835,-0.9737575245664873,1.1309625745316617E-5,0.4261504599701879,1.0560266436349295,-5.572111959561786E-6,-0.02236185094540133,0.6116227338698489
0.59,0,10,1,0.06367743732643678,8.570736941392809E-46,-3.0967929135511083,-0.8920668152017274,1.8146311950509094E-5,0.41556326508222025,1.0612124004543233,-6.245766780210715E-6,0.437993627326313,0.49653275472146835
0.6,0,10,1,0.0627839468849267,0,-3.1177928205461165,-0.8227077824175576,6.141026980608024E-5,0.40492819122826923,1.0657990062749576,-7.301545075222293E-6,0.7589797884256124,0.37739506899379277
0.61,0,10,1,0.06180910017791679,0,-3.129350919585858,-0.7629506941290973,-3.224756221028494E-6,0.39425144560431297,1.0695501185162686,-5.647492189453374E-6,-0.3917260039677126,0.35953169048333994
0.62,0,10,1,0.060761360362609006,0,-3.137297182009495,-0.7139582921030604,-1.948847162279977E-5,0.3835389364170507,1.0727805257349061,-4.7843353112087106E-6,-0.001933765537974419,0.25303935458069465
0.63,0,10,1,0.05964874046558402,0,-3.142352068745488,-0.6745423756167631,-8.44207027360911E-6,0.37279666304201403,1.075513621900157,-4.531897129567142E-6,0.2535106167057407,0.17200066363687128
0.64,0,10,1,0.058477927193565725,0,-3.1447258420997564,-0.6433926702358317,2.9901447232779565E-6,0.36203023902181536,1.077769144821744,-4.674451897557219E-6,0.4118687577599375,0.11710779102874953
0.65,0,10,1,0.05725423341356571,0,-3.1424348589139806,-0.6185476844790714,-1.7722409743156E-5,0.35124461728169226,1.0793552032028713,-3.200686538029629E-6,-0.19670856439323187,0.10185415681714766
0.66,0,10,1,0.0559821974537996,0,-3.138683379751061,-0.6003433508749203,-1.5873927256420798E-5,0.34044456286926955,1.080513682007755,-2.36914500461344E-6,0.008337592756380574,0.07675925629146821
0.67,0,10,1,0.05466611943509657,0,-3.133663963608402,-0.5880143061930354,-1.328341371257343E-5,0.32963504226703344,1.0812515967126615,-1.9992611459684895E-6,0.1621444529106183,0.0734335039054188
0.68,0,10,1,0.053309788619240635,0,-3.1273660271251815,-0.5809533510845452,-2.6834705372496612E-5,0.3188209253015337,1.0815717963872977,-1.9191050937347004E-6,-0.2946957171539222,0.0657158607356487
0.6900000000000001,0,10,1,0.05191647446465716,0,-3.1179208041138113,-0.578003818649673,-1.654095575381448E-5,0.3080067301872516,1.081265164872728,-7.788305262934614E-7,-0.13644459460912772,0.08656729250335841
0.7000000000000001,0,10,1,0.05048940603894713,0,-3.1072536466805682,-0.5797322162576662,-7.202839763947438E-6,0.29719704308381895,1.0805265928881873,-8.707060278714825E-8,0.012327024857503366,0.12366496941166757
0.71,0,10,1,0.04903210406478863,5.711546522801636E-46,-3.095184700699268,-0.5859690526314976,-1.3592107688937132E-5,0.2863969376001919,1.0793430004058777,2.831969947436619E-7,0.18279971990663935,0.17506464913814954
0.72,0,10,1,0.04754830124400876,0,-3.08159766285034,-0.5967026709821559,-4.7364711366690504E-5,0.2756117482402849,1.077701205529813,4.4467241266943347E-7,0.39342161241172047,0.2384644340685129
0.73,0,10,1,0.04604166795832474,-1.7777921835982715E-46,-3.063396399125331,-0.610707746751836,-1.946681013481183E-5,0.26484670358371526,1.0753077257840986,1.334155519394642E-6,-0.1729133885602887,0.2405134069066173
0.74,0,10,1,0.044516262208892,0,-3.043059237865392,-0.6291111280120558,-9.233547383102037E-6,0.25410735811177104,1.0723775875419044,1.8046461634537436E-6,0.018078932268618786,0.30990112738737896
0.75,0,10,1,0.04297673788506036,0,-3.020130377401609,-0.6517411522421647,-2.5972747019764594E-5,0.24340010183013014,1.0688770397005811,1.987516551338331E-6,0.23847757789532453,0.376718859759167
0.76,0,10,1,0.04142803237168953,0,-2.994277160338683,-0.6782655222930338,-6.157903542294626E-5,0.23273186114454925,1.0647782472926082,2.023649152249618E-6,0.4382594591049189,0.4289878349954412
0.77,0,10,1,0.03987476289918031,0,-2.9624419862240234,-0.7068477430826845,-3.10246489575706E-5,0.22210949907521735,1.0596941665737658,2.0529812760905486E-6,-0.18691437922278054,0.40712352024343235
0.78,0,10,1,0.03832145818990274,0,-2.9278036195460007,-0.7379692284191419,-3.4839638538222477E-5,0.211540271450162,1.0539169935708443,1.5407608567790488E-6,0.021204515749652764,0.41085977427667364
0.79,0,10,1,0.036772365297277315,3.2969519608665873E-43,-2.8903078837079663,-0.7700931119882437,-4.7511997859094575E-5,0.20103235692276028,1.04742540568094,6.660154214799263E-7,0.09743289549723366,0.36201137011478907
0.8,0,10,1,0.03523040951526685,0,-2.8503762162942534,-0.8011055742293818,-1.6492912887473934E-5,0.1905941762455153,1.0402107297680079,-2.758525631501441E-7,-0.1386642889650207,0.3015792298659259
0.81,0,10,1,0.033696837807726136,0,-2.8082752805653093,-0.8283264972235042,-3.266711440071017E-5,0.18023351073712457,1.0319281183173654,-2.371522774602397E-6,0.06379801032861998,0.17575101885594266
0.8200000000000001,0,10,1,0.032170841728674834,0,-2.766864561389928,-0.8500059935665644,-4.786436438991997E-5,0.16995783837673317,1.022998077091163,-4.810823642927731E-6,0.006452920965812403,0.008173646289412804
0.8300000000000001,0,10,1,0.030649141491472104,0,-2.726507731841405,-0.8628809564154811,-1.4496348986161075E-5,0.15977453187069135,1.0134873609054331,-7.139836803560229E-6,-0.33472547073557113,-0.1666793096734591
0.84,0,10,1,0.029125672848042322,0,-2.6883756962898664,-0.8645458263827382,4.8266955705709885E-5,0.14968961875713133,1.0034952618066129,-8.957005598858288E-6,0.6593035056766694,-0.21173385827401447
0.85,0,10,1,0.027593113481434926,0,-2.6578196627086856,-0.8556829441551353,1.2431833911880501E-5,0.13970723427456921,0.9930120100895924,-1.1724505192933776E-5,0.38791013489575876,-0.3096018502339401
0.86,0,10,1,0.026043022129660108,0,-2.631228773568487,-0.8342318995710132,2.9802693224389994E-5,0.12982982543412475,0.9824588747315737,-1.3258097271359113E-5,-0.019053266481883213,-0.33431594173083506
0.87,0,10,1,0.024466353481780882,-7.728686419381527E-56,-2.608232869187625,-0.8009345828964894,5.080426955026076E-5,0.12005795293311546,0.9719666863018155,-1.3905847014328288E-5,-0.3144285243370868,-0.2960075118911972
0.88,0,10,1,0.022855204804754083,0,-2.5890467666119448,-0.758258497051973,5.7423979759308754E-5,0.1103896566653165,0.9616654966596414,-1.4284217369819885E-5,-0.3644772910147358,-0.22791709707238983
0.89,0,10,1,0.021203810220641335,0,-2.574586772956164,-0.7094203889815655,6.553319797076594E-5,0.1008212631368236,0.9520132090389555,-1.17971543105444E-5,0.13382537013438456,-0.1506389067107446
0.9,0,10,1,0.019508263916982266,0,-2.5612404620305886,-0.6557549149042899,5.644469308704239E-5,0.09134753994883554,0.9429363608140662,-9.05794544257342E-6,-0.03317479287722769,-0.10527793462526955
